采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款余额(万),净资金流入(万)
2017/5/9,乐投天下,300,9.67%,170,1.67,6,478.75,55835.66,31.35
2017/5/9,珠宝贷,300,9.60%,176,2,2,15.35,97194.48,-912.57
2017/5/9,绿化贷,296.63,11.43%,231,6.7,13,145.6,40262.17,-91.12
2017/5/9,稳贷网,292.3,17.69%,118,8.06,5,0.08,15650.9,281.28
2017/5/9,合众金服,288,9.40%,0,10.02,4,955.94,46762,280.51
2017/5/9,沃时贷,276.1,12.76%,360,7.91,38,86.89,45098.27,6.19
2017/5/9,沪商财富,275.4,15.45%,167,14.35,9,24.69,18238.02,4.35
2017/5/9,联投金融,267.6,14.76%,83,4.1,8,578.89,3471.2,90.53
2017/5/9,51帮你,260,11.76%,81,1.1,5,70.56,4999.64,44
2017/5/9,金元宝理财,256.04,11.23%,257,5.56,6,2.2,53229.59,252.42
2017/5/9,中兴财富,252.3,15.52%,181,5.36,28,52.41,18027.1,94.86
2017/5/9,华众金服,250,9%,88,1,5,0.23,7037.39,0
2017/5/9,e微贷,248.37,11.99%,99,7.49,21,458.95,18782.36,184.55
2017/5/9,大同行,248,8.60%,109,0.86,8,460.72,27713.5,101.54
2017/5/9,银狐财富,242.5,8.70%,25,2.43,5,925.83,19625.86,-39.27
2017/5/9,寺库,236.9,9.31%,63,1.65,10,44.16,12574.25,125.31
2017/5/9,一点钱  ,232,8%,7,0.33,2,3600,5854.49,-98.9
2017/5/9,小猪罐子,220.4,10.85%,159,4.35,16,346.78,28460.07,37.53
2017/5/9,财火火,218,14%,44,2.83,2,244.71,2753.66,171.33
2017/5/9,民投金服,216.73,9.15%,212,1.13,28,27.24,16313.59,91.23
2017/5/9,钱内助,216.66,11.59%,371,3.53,7,761.03,30179.22,-285.37
2017/5/9,玺鉴,216,9.03%,30,2.74,5,1003.65,9644.06,70.44
2017/5/9,豫商贷,215.6,14.83%,177,5.71,6,333.88,27341.56,-52.59
2017/5/9,广富宝,209.95,12.34%,145,4.04,41,102.9,7963.73,95.36
2017/5/9,普汇云通,200,11.93%,141,3.75,4,2391.1,15321.03,156.44
2017/5/9,中融宝,200,7.80%,58,4.5,2,702.85,41545.58,205.4
2017/5/9,新华久久贷,200,8.70%,45,6,2,262.62,22317.75,199.05
2017/5/9,天府财富,200,6.25%,30,6,1,1624.88,46228.44,1.63
2017/5/9,小米贷,198.21,12.06%,61,1.78,2,2356.37,5847.77,175.3
2017/5/9,众易贷,193.1,14.72%,228,1.65,19,127.62,6675.75,-53.93
2017/5/9,果树财富,192.96,12.62%,336,3.65,50,27.83,25741.5,31.63
2017/5/9,百财车贷,192.47,10.35%,84,2.44,25,1.11,10520.97,47.88
2017/5/9,壹心贷,192,9.52%,32,2.33,4,0,9740.24,-150.32
2017/5/9,快快贷,190,9.60%,159,2.53,6,496.31,16080.94,70.28
2017/5/9,信和贷,188,14.67%,97,2.14,4,545.24,14218.08,84.64
2017/5/9,智融财富,181.66,13.80%,55,1.58,6,355.91,7954.37,42.72
2017/5/9,小微时贷,180.02,15.54%,251,4.05,17,9.17,18737.48,17.55
2017/5/9,达人贷,179.17,14.16%,471,18.42,306,12.76,12096.15,127
2017/5/9,壹佰金融,176.73,11.30%,67,8.45,18,1111.55,88001.26,-402.17
2017/5/9,万家贷,171.8,9.90%,119,1.92,11,142.83,9021.27,54.38
2017/5/9,摇财树,169.6,9.01%,27,1.02,5,0,28328.46,-149.57
2017/5/9,360金融,168.6,15.19%,62,3.56,8,2.79,9557.08,69.94
2017/5/9,超爱财,165,8.36%,89,4.6,9,164.75,19924.07,-8.48
2017/5/9,旺财谷,160,7.56%,58,2.16,2,1039.25,49920.9,-222.02
2017/5/9,介贷,159.6,14.42%,63,10.53,10,480.15,25051.94,91.93
2017/5/9,微邦金融,155,11.97%,21,3.19,4,3208.76,5466.02,108.6
2017/5/9,脐橙金融,153,10.59%,81,2.18,4,767.39,5729.31,100.85
2017/5/9,道口金融网,151.98,12.59%,44,5.54,22,135.45,8158.98,96.02
2017/5/9,壹宝贷,145.7,10.58%,132,3.38,8,221.23,22443.01,-72.02
2017/5/9,金源贷,143,19.02%,43,2.47,9,10.31,8207.59,61.19
2017/5/9,掌中财富,142.06,12.55%,145,6.48,20,5.39,19862.61,-3.43
2017/5/9,为为贷,140.81,12.81%,35,1.41,23,130.13,4052.03,20.4
2017/5/9,迅泊达,140.4,11.23%,47,1.55,4,2.48,6458.03,18.4
2017/5/9,百利市,140,6.80%,13,1,4,25.15,6954.99,140.79
2017/5/9,财富智汇,135,16.01%,0,3.03,5,0,7648.17,9.09
2017/5/9,长久贷,135,14.43%,73,2.93,6,602.18,9895.39,77.28
2017/5/9,协众金融,130,11.35%,27,1.74,9,826.58,1329.63,-49.9
2017/5/9,助商贷,126.16,14.57%,95,4.61,13,75.27,4992.43,58.4
2017/5/9,贵州网贷,125,20%,46,3,8,212.92,6409.36,-21.48
2017/5/9,金牌理财,123.43,13.87%,31,2.11,6,522.29,3798.43,97.6
2017/5/9,前海广深发,122.4,15.16%,52,9.77,9,87.41,7314.17,96.53
2017/5/9,小树时代理财,121.51,16.72%,40,11.75,273,0,2476.32,121.21
2017/5/9,财富500,121.2,10%,26,2.4,1,24.7,4567.78,-3.47
2017/5/9,合拍在线,120,10.17%,10,3.5,2,12.52,114483.27,-436.47
2017/5/9,余易贷,120,11.60%,22,1.67,6,32.98,10580.89,-83.18
2017/5/9,赢众投,120,8.76%,8,3.01,3,70.33,8770.51,60.92
2017/5/9,德众金融,116.68,7.93%,57,10.84,11,30.02,133172.04,-179.93
2017/5/9,世纪金服,116,13.88%,22,5.64,5,79.8,11578.55,79.26
2017/5/9,小算盘,115,9.09%,112,1.64,13,681.22,6455.78,96.32
2017/5/9,米利财富,115,23.61%,32,18,3,1479.42,20658.09,131.95
2017/5/9,量子金融,113.95,12.65%,28,2.79,7,4.31,4340.23,62.56
2017/5/9,天恩世诚,113.4,9.29%,63,2.31,8,2.89,2679.43,50.12
2017/5/9,小平贷,113.27,11.91%,64,4.73,102,0,3187.35,-60.86
2017/5/9,前金所,107.1,10.33%,15,2.82,74,15.02,5518.02,22.28
2017/5/9,糖果金融,106.9,9.51%,12,4.61,10,1607.93,12507.49,19.9
2017/5/9,鼎信贷,106.2,11.34%,63,6.44,10,189.14,9024.55,23.2
2017/5/9,爱当宝,103.72,8%,49,1,7,681.24,3636.06,102.38
2017/5/9,广州e贷,102.9,8.02%,0,3.77,6,0,35748.43,-150.66
2017/5/9,钱增增,101,15.10%,30,1.06,9,46.48,4301.34,3.33
2017/5/9,惠金贷,101,16.80%,25,7.6,9,37.28,7798.19,30.05
2017/5/9,百泉贷,100,13.50%,67,9,1,0.18,19909.15,102.33
2017/5/9,雪莲借贷,100,12%,42,4.5,2,18.26,3545.36,83.59
2017/5/9,蜂投网,100,12.53%,42,5.35,5,1289.93,4614.69,-10.17
2017/5/9,易享贷,100,7.50%,25,0.33,1,251.23,3785.25,67.63
2017/5/9,新安左右贷,100,8.20%,15,12,1,0.36,29619.05,100.48
2017/5/9,民信贷   ,100,9%,1,3,1,2764.11,11082.51,83.21
2017/5/9,易互贷,100,15.60%,17,1,2,197,3094.35,-0.2
2017/5/9,口贷网,100,16.80%,35,6,1,359.33,68918.97,-378.54
2017/5/9,财雨网,100,8.20%,27,3,1,4285,1821.93,-99.38
2017/5/9,锦绣钱程,100,8.50%,4,6,1,602.54,20311.53,-405.08
2017/5/9,财神在线,100,8.15%,11,2,2,0,5156.89,70.73
2017/5/9,新富创投,98.75,11.19%,100,7.73,19,243.24,8737.74,71.18
2017/5/9,58车贷,98.1,11.83%,59,5.54,8,665.35,10279.85,56.61
2017/5/9,创乐财富,98,12.93%,30,2.29,3,2.96,4623.59,-4.75
2017/5/9,前海领投,90,10.50%,23,0.67,1,30.23,944.32,90.53
2017/5/9,融资易,90,11%,16,3.07,1,5665.21,11516.71,31.98
2017/5/9,聚金资本,89,11.55%,202,1.88,2,24.77,16278.71,-8.73
2017/5/9,丰投网,87.77,8.74%,22,2.34,2,1802.35,8250.49,-79.8
2017/5/9,存利网,87,10.01%,38,10.44,12,386.97,29689.63,17.89
2017/5/9,锐盈财富,85,10.49%,36,3.47,3,2.13,3610.13,80.22
2017/5/9,益合贷,82.25,12%,20,2,2,0.45,3608.31,26.62
2017/5/9,搜搜金融网,80.8,11.57%,25,2.04,4,373.45,2529.7,-20.6
2017/5/9,微E贷,80,9.80%,26,1,4,360,4673.64,19.58
2017/5/9,商富贷,77.47,10.52%,42,1.58,11,113.74,4356.11,14.78
2017/5/9,奇乐融,76.57,6.65%,23,2.31,13,168.87,17362.63,-429.34
2017/5/9,赶贷网,75.82,9.13%,40,2.03,12,820.77,3625.22,-0.67
2017/5/9,车财网,75,13.50%,49,2,2,38.73,3997.21,68.73
2017/5/9,民民贷,70.8,14.16%,95,3.69,12,15.01,12490.46,-29.87
2017/5/9,久信e贷,70.7,16.44%,17,1.44,5,0.04,2880.54,6.99
2017/5/9,来融金服,70,10.80%,18,6,2,3217.86,10384.45,21.08
2017/5/9,蜂缘财富,70,10.50%,9,6.14,7,4529.54,3191.01,52.58
2017/5/9,众金在线,70,12.21%,72,4.71,3,473.67,19639.05,66.66
2017/5/9,石榴壳,70,10%,7,5.14,2,1.18,1505.15,73
2017/5/9,大时贷,69,16.17%,11,5.17,4,273.29,7993.04,15.02
2017/5/9,利得行,68.43,9.33%,0,2.82,3,370.55,8007.08,-42.57
2017/5/9,简易贷,67.49,12.78%,17,3.43,8,963.74,3703.98,4.81
2017/5/9,悦享金服,64.99,9.22%,20,1.03,5,676.96,2322.01,5.28
2017/5/9,网投网,64,14.02%,106,12.18,50,0.19,14887.37,8.16
2017/5/9,方元金服,63,9.22%,41,11.49,4,1454.67,12497.72,-250.52
2017/5/9,金融工场,60.22,9.41%,58,13.73,134,6.15,173150.34,-406.48
2017/5/9,易贷在线,60,18.71%,33,1.96,5,132,1987.63,45.39
2017/5/9,建工E贷,60,13.20%,21,1.33,3,1067.67,838.19,40.66
2017/5/9,金财动力,58.83,8.96%,32,2.53,6,10.68,16280.08,-41.15
2017/5/9,微品金融,58,7.20%,31,1,1,1440,24479.93,-471.87
2017/5/9,e葱金融,58,8.47%,12,0.73,2,29.06,1892.7,58.31
2017/5/9,秒贷金融,57,7.54%,168,1.36,4,980.71,8236.02,-37.1
2017/5/9,百捷金融,55,9.38%,23,4.18,6,706.67,5426.12,56.5
2017/5/9,房易贷,55,12.36%,45,7.09,2,37.5,9439.7,31.55
2017/5/9,好收益,55,12%,79,2.95,2,2377.04,10428.09,-129.79
2017/5/9,洋葱先生,54.85,13.60%,731,14.29,364,0,43087.08,-26.68
2017/5/9,多宝贷,51.64,9.10%,113,5.11,15,1260.85,13514.43,-37.47
2017/5/9,城城理财,51.5,12.15%,37,3.03,1,262.5,145090.28,0
2017/5/9,律信智投,51.2,13%,24,1,4,359,2015.06,-1.97
2017/5/9,微易贷,51.19,18.37%,67,9.87,74,19.8,6850.59,24.74
2017/5/9,中再融,51.12,10.66%,43,2.99,8,333.61,3919.58,1.21
2017/5/9,瑞银创投,50,14%,62,1,1,2641.29,12332.18,33.79
2017/5/9,好房理财网,50,10%,0,3,1,1895.53,1727.54,51.25
2017/5/9,金海贷,50,13.60%,63,6,1,1.56,39043.4,-163.06
2017/5/9,亿企聚财,50,6.50%,12,1,1,4363.12,925.91,0
2017/5/9,理财去,50,10.78%,21,4.8,2,2474,6775.48,51.64
2017/5/9,欧亚金融,50,10%,22,2,1,1722,7876.45,-51.8
2017/5/9,长汇财富,49,12%,23,1,2,1.4,2407.6,-17.38
2017/5/9,你好贷,48.1,9.14%,4,4.87,3,958.82,4068.22,29.46
2017/5/9,狮子座金融,48,24%,4,24,1,3.35,20005.98,-69.33
2017/5/9,众贷汇,48,14.89%,13,2.42,6,196.19,4444.43,42.35
2017/5/9,大众贷,48,15%,92,4.33,3,1587.67,6852.91,17.38
2017/5/9,看看钱包,46.1,9.17%,29,6.7,1,152.62,4478.41,45.53
2017/5/9,财富N次方,46,12%,33,1,5,42.61,-2423.1,16.16
2017/5/9,千企贷,46,10%,3,1,3,0.33,373.35,-0.66
2017/5/9,龙城易贷,45.6,16.65%,44,4.25,3,27.2,2792.93,8.14
2017/5/9,四海众投,45.1,9.25%,28,1.12,4,130.03,4187.77,-27.19
2017/5/9,金瑞龙,43.15,12.07%,41,20.94,9,456.75,35872.33,-222.57
2017/5/9,汇财贷,43,11.56%,5,2.62,2,3218.42,3564.81,11.27
2017/5/9,阜阳金融网,42.44,18.41%,74,4.7,1,341.1,3740.29,-18.02
2017/5/9,优投在线,42,11.76%,4,6.6,6,0,5498.66,4.5
2017/5/9,有喜财富,41.8,11.28%,20,13.39,5,0.46,3714.51,17.27
2017/5/9,海星宝理财,41.42,11.91%,22,7.81,7,3.83,3040.71,14.72
2017/5/9,宝点网,40.5,12.79%,93,8.25,9,25.69,35808.38,-198.88
2017/5/9,淘收益,40,13.50%,7,6,1,4334.58,9150.75,19.4
